# Time-averaged data for fix velpos
# TimeStep v_vcmx v_vcmy v_vcmz v_xcmx v_xcmy v_xcmz
2001970 -0.00608112 0.00488431 0.000428643 -8.41753 13.0388 -71.5229
2001980 -0.00455574 0.000595234 0.00512924 -8.47273 13.0654 -71.4937
2001990 -0.00211152 -0.00197779 0.00719273 -8.50556 13.0568 -71.4295
2002000 -0.000487858 -0.00278951 0.00666569 -8.51809 13.0316 -71.3586
2002010 0.000952723 -0.00233097 0.00511199 -8.5157 13.0053 -71.2995
2002020 0.00200451 -0.001381 0.00343286 -8.50033 12.9865 -71.2567
2002030 0.00233845 -0.000317457 0.00164469 -8.47802 12.9781 -71.2312
2002040 0.00186281 0.000414022 -4.68956e-05 -8.45622 12.9789 -71.2236
2002050 0.000638903 0.00103802 -0.000880772 -8.44336 12.9861 -71.2291
2002060 -0.000659166 0.00161211 -0.00126309 -8.44361 12.9996 -71.2396
2002070 -0.00159594 0.00192739 -0.00230147 -8.45536 13.0173 -71.2567
2002080 -0.00187401 0.00240621 -0.00384682 -8.4733 13.0388 -71.2874
2002090 -0.00165885 0.00283017 -0.00538551 -8.49114 13.0654 -71.3335
2002100 -0.00145183 0.00234068 -0.00668375 -8.50668 13.0923 -71.3945
2002110 -0.000501127 0.00063163 -0.00623753 -8.51786 13.108 -71.4613
2002120 0.00241405 -0.00163208 -0.00345236 -8.50959 13.1032 -71.5111
2002130 0.0046539 -0.00392768 -0.00061782 -8.47199 13.0751 -71.5305
2002140 0.00428368 -0.00497954 0.00124452 -8.42562 13.0287 -71.5269
2002150 0.00288401 -0.00371318 0.00305552 -8.38954 12.9835 -71.5056
2002160 0.00164082 -0.00136135 0.00441845 -8.36743 12.9581 -71.467
2002170 0.00124908 0.000391914 0.0037287 -8.35372 12.9541 -71.4245
2002180 0.00115753 0.00133314 0.00208714 -8.34148 12.9633 -71.3956
2002190 0.000785843 0.00158851 0.00142692 -8.33153 12.9786 -71.3792
2002200 -9.62011e-05 0.000867277 0.00166845 -8.32745 12.9917 -71.3639
2002210 -0.00159263 -0.000305432 0.0012287 -8.33569 12.9942 -71.3482
2002220 -0.00243467 -0.000608541 -0.000524556 -8.35703 12.9888 -71.344
2002230 -0.00209791 -0.000180678 -0.00204074 -8.38044 12.9842 -71.3579
2002240 -0.000477219 0.00121389 -0.00203929 -8.39485 12.9888 -71.3795
2002250 0.00261504 0.00233274 -0.00132343 -8.38471 13.0073 -71.3964
2002260 0.00503104 0.00250211 -0.000158214 -8.3449 13.0323 -71.4048
2002270 0.00504738 0.00164284 0.00233362 -8.29226 13.054 -71.3947
2002280 0.00318139 -0.000189789 0.00487073 -8.2504 13.0616 -71.358
2002290 0.00140075 -0.0014792 0.00614105 -8.22815 13.0523 -71.3016
2002300 0.000443636 -0.00183106 0.00586762 -8.21946 13.0352 -71.2405
2002310 -0.00049202 -0.00187308 0.00478967 -8.21922 13.0166 -71.1869
2002320 -0.00210103 -0.0019346 0.00374665 -8.23171 12.9977 -71.1445
2002330 -0.00384313 -0.00233467 0.00321713 -8.26169 12.9767 -71.1102
2002340 -0.0050491 -0.00278654 0.0032155 -8.30675 12.9508 -71.0783
2002350 -0.00543234 -0.00264734 0.00307363 -8.35991 12.9232 -71.0463
